Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2018,Austria,NO2,8822183,43050,9.5,1228,12796
2018,Austria,O3,8822183,43050,7867.9,619,6756
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001,52145
2019,Austria,NO2,8858695,43050,8.7,1038,10735
2019,Austria,O3,8858695,43050,6892.5,532,5742
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685,38017
2018,Belgium,NO2,11398472,25153,14.1,2085,22293
2018,Belgium,O3,11398472,25153,4803.8,508,5810
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914,62914
2019,Belgium,NO2,11455418,25153,12.5,1696,18208
2019,Belgium,O3,11455418,25153,3719.9,395,4456
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533,48580
2018,Bulgaria,NO2,7049950,23519,9.3,1883,20285
2018,Bulgaria,O3,7049950,23519,6089.9,467,5239
2018,Bulgaria,PM10,7049950,23519,20.8,,
2018,Bulgaria,PM2.5,7049950,23519,14.7,12027,129430
2019,Bulgaria,NO2,6999961,23519,8.3,1819,19606
2019,Bulgaria,O3,6999961,23519,5954.5,424,4858
2019,Bulgaria,PM10,6999961,23519,18.1,,
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906,106663
2018,Cyprus,NO2,1197024,6504,7.8,201,2215
2018,Cyprus,O3,1197024,6504,9265.6,59,687
2018,Cyprus,PM10,1197024,6504,26.4,,
2018,Cyprus,PM2.5,1197024,6504,12.6,526,5769
2019,Cyprus,NO2,1213178,6504,7.7,179,1889
2019,Cyprus,O3,1213178,6504,8656.4,53,608
2018,Austria,NO2,8822183,43050,9.5,1228,12796
2018,Austria,O3,8822183,43050,7867.9,619,6756
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001,52145
2019,Austria,NO2,8858695,43050,8.7,1038,10735
2019,Austria,O3,8858695,43050,6892.5,532,5742
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685,38017
2018,Belgium,NO2,11398472,25153,14.1,2085,22293
2018,Belgium,O3,11398472,25153,4803.8,508,5810
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914,62914
2019,Belgium,NO2,11455418,25153,12.5,1696,18208
2019,Belgium,O3,11455418,25153,3719.9,395,4456
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533,48580
2018,Bulgaria,NO2,7049950,23519,9.3,1883,20285
2018,Bulgaria,O3,7049950,23519,6089.9,467,5239
2018,Bulgaria,PM10,7049950,23519,20.8,,
2018,Bulgaria,PM2.5,7049950,23519,14.7,12027,129430
2019,Bulgaria,NO2,6999961,23519,8.3,1819,19606
2019,Bulgaria,O3,6999961,23519,5954.5,424,4858
2019,Bulgaria,PM10,6999961,23519,18.1,,
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906,106663
2018,Cyprus,NO2,1197024,6504,7.8,201,2215
2018,Cyprus,O3,1197024,6504,9265.6,59,687
2018,Cyprus,PM10,1197024,6504,26.4,,
2018,Cyprus,PM2.5,1197024,6504,12.6,526,5769
2019,Cyprus,NO2,1213178,6504,7.7,179,1889
2019,Cyprus,O3,1213178,6504,8656.4,53,608
2019,Cyprus,PM10,1213178,6504,17.7,,
2019,Cyprus,PM2.5,1213178,6504,13.7,582,6161
2018,Czechia,NO2,10610014,44196,9.4,1187,13158
2018,Czechia,O3,10610014,44196,7713.3,870,9967
2018,Czechia,PM10,10610014,44196,20.9,,
2018,Czechia,PM2.5,10610014,44196,15.4,10305,114509
2019,Czechia,NO2,10649759,44196,8.4,960,10751
2019,Czechia,O3,10649759,44196,5890.6,675,7798
2019,Czechia,PM10,10649759,44196,16,,
2019,Czechia,PM2.5,10649759,44196,11.5,6941,77681
2018,Germany,NO2,82791305,213783,11.7,16327,169758
2018,Germany,O3,82791305,213783,6228.2,6014,65143
2018,Germany,PM10,82791305,213783,16.6,,
2018,Germany,PM2.5,82791305,213783,11.4,49262,510635
2019,Germany,NO2,83018124,213783,10.7,13383,142396
2019,Germany,O3,83018124,213783,5079.6,4804,53321
2019,Germany,PM10,83018124,213783,13.8,,
2019,Germany,PM2.5,83018124,213783,9.3,34359,364836
2018,Denmark,NO2,5781155,37704,4.3,192,2049
2018,Denmark,O3,5781155,37704,4074.9,238,2668
2018,Denmark,PM10,5781155,37704,15,,
2018,Denmark,PM2.5,5781155,37704,8.8,2206,23400
2019,Denmark,NO2,5806051,37704,4.2,117,1326
2019,Denmark,O3,5806051,37704,3470.4,209,2393
2019,Denmark,PM10,5806051,37704,14.3,,
2019,Denmark,PM2.5,5806051,37704,8.2,1719,18735
2018,Estonia,NO2,1319120,20389,2,12,159
2018,Estonia,O3,1319120,20389,3034.1,48,578
2018,Estonia,PM10,1319120,20389,10.9,,
2018,Estonia,PM2.5,1319120,20389,6.2,230,2664
2019,Estonia,NO2,1324805,20389,2.4,17,212
2019,Estonia,O3,1324805,20389,3036,46,562
2019,Estonia,PM10,1324805,20389,8.9,,
2019,Estonia,PM2.5,1324805,20389,4.4,79,941
2018,Spain,NO2,44522593,60511,7.2,7450,80869
2018,Spain,O3,44522593,60511,6178.7,2668,29968
2018,Spain,PM10,44522593,60511,14.2,,
2018,Spain,PM2.5,44522593,60511,7.5,15104,163880
2019,Spain,NO2,44788442,60511,7.3,6675,74958
2019,Spain,O3,44788442,60511,6305.1,2595,30114
2019,Spain,PM10,44788442,60511,14.1,,
2019,Spain,PM2.5,44788442,60511,7.3,14734,165485
2018,European Union Countries,NO2,441769203,1793090,7.7,70251,761283
2018,European Union Countries,O3,441769203,1793090,5519.4,27678,313629
2018,European Union Countries,PM10,441769203,1793090,16.2,,
2018,European Union Countries,PM2.5,441769203,1793090,10.6,290716,3208729
2019,European Union Countries,NO2,441994712,1793090,7.2,62591,683945
2019,European Union Countries,O3,441994712,1793090,5017.3,24655,281095
2019,European Union Countries,PM10,441994712,1793090,14.4,,
2019,European Union Countries,PM2.5,441994712,1793090,9.1,231286,2570060
2018,Finland,NO2,5513080,99493,2.4,134,1424
2018,Finland,O3,5513080,99493,2523.2,140,1544
2018,Finland,PM10,5513080,99493,7.1,,
2018,Finland,PM2.5,5513080,99493,4.1,454,4866
2019,Finland,NO2,5517868,99493,2.7,85,975
2019,Finland,O3,5517868,99493,2596,132,1527
2019,Finland,PM10,5517868,99493,5.5,,
2019,Finland,PM2.5,5517868,99493,3.6,167,1863
2018,France,NO2,64893633,370764,6.1,7383,85735
2018,France,O3,64893633,370764,5833.2,3397,41682
2018,France,PM10,64893633,370764,13.3,,
2018,France,PM2.5,64893633,370764,8.2,22888,265284
2019,France,NO2,65040282,370764,5.7,6720,78263
2019,France,O3,65040282,370764,5388.8,3107,38134
2019,France,PM10,65040282,370764,12.7,,
2019,France,PM2.5,65040282,370764,7.4,18709,217384
2018,Greece,NO2,10741033,24582,8,2609,27388
2018,Greece,O3,10741033,24582,8113.1,961,10439
2018,Greece,PM10,10741033,24582,19.5,,
2018,Greece,PM2.5,10741033,24582,12.4,11144,116707
2019,Greece,NO2,10724467,24582,7,2316,23215
2019,Greece,O3,10724467,24582,8353.6,984,10257
2019,Greece,PM10,10724467,24582,19.3,,
2019,Greece,PM2.5,10724467,24582,11.9,9480,94734
2018,Croatia,NO2,4105440,23884,6.4,462,4778
2018,Croatia,O3,4105440,23884,6583.1,369,3945
2018,Croatia,PM10,4105440,23884,18.6,,
2018,Croatia,PM2.5,4105440,23884,13,4696,48568
2019,Croatia,NO2,4076191,23884,6.3,497,5230
2019,Croatia,O3,4076191,23884,6343.8,359,3822
2019,Croatia,PM10,4076191,23884,16,,
2019,Croatia,PM2.5,4076191,23884,10.8,3472,36410
2018,Hungary,NO2,9778315,27758,9.6,1769,20205
2018,Hungary,O3,9778315,27758,7530.2,870,10171
2018,Hungary,PM10,9778315,27758,23.9,,
2018,Hungary,PM2.5,9778315,27758,16.8,12161,138808
2019,Hungary,NO2,9772693,27758,9,1664,18981
2019,Hungary,O3,9772693,27758,5347.2,648,7660
2019,Hungary,PM10,9772693,27758,19.3,,
2019,Hungary,PM2.5,9772693,27758,13.4,8667,98816
2018,Ireland,NO2,4830367,55482,4.4,184,2196
2018,Ireland,O3,4830367,55482,2900.1,90,1123
2018,Ireland,PM10,4830367,55482,10.5,,
2018,Ireland,PM2.5,4830367,55482,6.4,624,7402
2019,Ireland,NO2,4904219,55482,3.7,168,2043
2019,Ireland,O3,4904219,55482,2504.7,74,935
2019,Ireland,PM10,4904219,55482,10.1,,
2019,Ireland,PM2.5,4904219,55482,5.4,598,7161
2018,Italy,NO2,60483667,169658,10.6,12296,124180
2018,Italy,O3,60483667,169658,6957.2,4630,48136
2018,Italy,PM10,60483667,169658,19.6,,
2018,Italy,PM2.5,60483667,169658,12.7,46884,473138
2019,Italy,NO2,59816350,169658,10.5,12239,122009
2019,Italy,O3,59816350,169658,7549,4763,48766
2019,Italy,PM10,59816350,169658,18.7,,
2019,Italy,PM2.5,59816350,169658,12,42658,425504
2018,Lithuania,NO2,2808874,35587,5.3,249,2812
2018,Lithuania,O3,2808874,35587,3515.7,137,1549
2018,Lithuania,PM10,2808874,35587,15.8,,
2018,Lithuania,PM2.5,2808874,35587,10.5,2110,23593
2019,Lithuania,NO2,2794155,35587,4.8,171,2012
2019,Lithuania,O3,2794155,35587,3622.6,136,1617
2019,Lithuania,PM10,2794155,35587,14.4,,
2019,Lithuania,PM2.5,2794155,35587,9.1,1880,21721
2018,Luxembourg,NO2,602001,1658,12.2,81,934
2018,Luxembourg,O3,602001,1658,5708.7,22,267
2018,Luxembourg,PM10,602001,1658,15,,
2018,Luxembourg,PM2.5,602001,1658,9.2,150,1747
2019,Luxembourg,NO2,613891,1658,11.1,67,769
2019,Luxembourg,O3,613891,1658,4368.4,18,221
2019,Luxembourg,PM10,613891,1658,12.8,,
2019,Luxembourg,PM2.5,613891,1658,7.5,93,1084
2018,Latvia,NO2,1934362,32912,3.6,200,2309
2018,Latvia,O3,1934362,32912,3243.3,89,1032
2018,Latvia,PM10,1934362,32912,13.3,,
2018,Latvia,PM2.5,1934362,32912,8.6,1436,16362
2019,Latvia,NO2,1919953,32912,3.4,130,1486
2019,Latvia,O3,1919953,32912,3197.8,77,925
2019,Latvia,PM10,1919953,32912,11.9,,
2019,Latvia,PM2.5,1919953,32912,7,1001,11414
2018,Malta,NO2,475697,264,5.5,13,152
2018,Malta,O3,475697,264,7054.4,23,278
2018,Malta,PM10,475697,264,26.4,,
2018,Malta,PM2.5,475697,264,11.5,196,2374
2019,Malta,NO2,493556,264,6.9,16,190
2019,Malta,O3,493556,264,7374.2,25,294
2019,Malta,PM10,493556,264,24.9,,
2019,Malta,PM2.5,493556,264,11.7,188,2299
2018,Netherlands,NO2,17180968,30299,14.1,2929,31231
2018,Netherlands,O3,17180968,30299,3814.5,605,6837
2018,Netherlands,PM10,17180968,30299,18.6,,
2018,Netherlands,PM2.5,17180968,30299,11.7,7554,80451
2019,Netherlands,NO2,17282047,30299,13.2,2531,27531
2019,Netherlands,O3,17282047,30299,3555.4,548,6350
2019,Netherlands,PM10,17282047,30299,17,,
2019,Netherlands,PM2.5,17282047,30299,10.4,6064,65862
2018,Poland,NO2,37976476,196199,8.9,4591,57361
2018,Poland,O3,37976476,196199,5495.7,2343,30524
2018,Poland,PM10,37976476,196199,24.6,,
2018,Poland,PM2.5,37976476,196199,17.7,46792,583534
2018,Slovenia,PM10,2066847,13251,17.8,,
2018,Slovenia,PM2.5,2066847,13251,13.1,1495,17067
2019,Slovenia,NO2,2080877,13251,7.9,188,2082
2019,Slovenia,O3,2080877,13251,6729.3,126,1491
2019,Slovenia,PM10,2080877,13251,14.9,,
2019,Slovenia,PM2.5,2080877,13251,10.9,1147,12957
2018,Slovakia,NO2,5443100,15868,9.4,500,6175
2018,Slovakia,O3,5443100,15868,7110,363,4781
2018,Slovakia,PM10,5443100,15868,22.3,,
2018,Slovakia,PM2.5,5443100,15868,16.4,4857,60053
2019,Slovakia,NO2,5450395,15868,8.6,371,4741
2019,Slovakia,O3,5450395,15868,5561.9,280,3766
2019,Slovakia,PM10,5450395,15868,18.1,,
2019,Slovakia,PM2.5,5450395,15868,12.6,3462,44080
